,Time [min],Glucose [M],Fructose [M],Sucrose [M],Forward Rate [M/s]
0,0.0,0.0,0.0,0.029214139643587496,0.0008050453332406095
1,4.848484848484849,0.0037539603264618547,0.0037539603264618547,0.025460179317125638,0.0007431013375415096
2,9.696969696969697,0.007202931230216469,0.007202931230216469,0.022011208413371022,0.0006793590947614059
3,14.545454545454547,0.010340150875400193,0.010340150875400193,0.018873988768187303,0.0006146641505825004
4,19.393939393939394,0.013163392695987656,0.013163392695987656,0.016050746947599843,0.0005500237309424374
5,24.242424242424242,0.015675597148571453,0.015675597148571453,0.013538542495016041,0.00048655020486257746
6,29.090909090909093,0.01788516762817121,0.01788516762817121,0.01132897201541628,0.00042537926718595043
7,33.93939393939394,0.01980587253212001,0.01980587253212001,0.009408267111467486,0.0003675728602964469
8,38.78787878787879,0.021456352627374296,0.021456352627374296,0.007757787016213199,0.0003140224658666027
9,43.63636363636364,0.022858892600587443,0.022858892600587443,0.006355247043000048,0.00026538435377517226
10,48.484848484848484,0.024038331385388276,0.024038331385388276,0.005175808258199218,0.00022203711852958907
11,53.333333333333336,0.02502068659073127,0.02502068659073127,0.004193453052856223,0.00018408338693612825
12,58.18181818181819,0.02583191613264689,0.02583191613264689,0.0033822235109406055,0.0001513827401108104
13,63.03030303030303,0.026496657458344654,0.026496657458344654,0.002717482185242843,0.0001236157108292666
14,67.87878787878788,0.02703785460626226,0.02703785460626226,0.0021762850373252362,0.00010033070858564785
15,72.72727272727273,0.027475987781860573,0.027475987781860573,0.0017381518617269197,8.101546567874767e-05
16,77.57575757575758,0.027829018802116988,0.027829018802116988,0.0013851208414705051,6.513934114606824e-05
17,82.42424242424242,0.02811237026875789,0.02811237026875789,0.0011017693748296051,5.218938346490841e-05
18,87.27272727272728,0.028339062203120182,0.028339062203120182,0.0008750774404673108,4.1692995665813116e-05
19,92.12121212121212,0.028519949134348833,0.028519949134348833,0.0006941905092386598,3.322926889773935e-05
20,96.96969696969697,0.028663978136443093,0.028663978136443093,0.0005501615071443973,2.6433330074220373e-05
21,101.81818181818183,0.02877846292564649,0.02877846292564649,0.0004356767179409999,2.099508805041143e-05
22,106.66666666666667,0.028869338490529303,0.028869338490529303,0.0003448011530581898,1.665520948055417e-05
23,111.51515151515152,0.028941393711334598,0.028941393711334598,0.0002727459322528938,1.319947141010044e-05
24,116.36363636363637,0.028998476046070306,0.028998476046070306,0.00021566359751718468,1.0452575664479138e-05
25,121.21212121212122,0.02904366286743761,0.02904366286743761,0.0001704767761498825,8.272285584394569e-06
26,126.06060606060606,0.029079416593077462,0.029079416593077462,0.0001347230505100306,6.543486203483554e-06
27,130.9090909090909,0.029107693132216946,0.029107693132216946,0.00010644651137054414,5.17393371490809e-06
28,135.75757575757575,0.029130048472977614,0.029130048472977614,8.409117060987588e-05,4.089730420659474e-06
29,140.60606060606062,0.029147717286766156,0.029147717286766156,6.642235682133686e-05,3.2319162581464433e-06
30,145.45454545454547,0.029161678246608737,0.029161678246608737,5.24613969787544e-05,2.553553591982983e-06
31,150.3030303030303,0.02917270821230169,0.02917270821230169,4.14314312858051e-05,2.0172557693098985e-06
32,155.15151515151516,0.02918142161492973,0.02918142161492973,3.2718028657759706e-05,1.593373700881436e-06
33,160.0,0.029188303502826026,0.029188303502826026,2.583614076146548e-05,1.2584522728506159e-06
34,164.84848484848484,0.029193738148687757,0.029193738148687757,2.0401494899732916e-05,9.938782171554485e-07
35,169.6969696969697,0.029198030720323582,0.029198030720323582,1.6108923263906817e-05,7.848501205011418e-07
36,174.54545454545456,0.02920142044780976,0.02920142044780976,1.2719195777725989e-05,6.197529384354288e-07
37,179.3939393939394,0.029204096869190357,0.029204096869190357,1.0042774397131227e-05,4.893766326118397e-07
38,184.24242424242425,0.029206210299463704,0.029206210299463704,7.92934412378109e-06,3.864122944739681e-07
39,189.0909090909091,0.02920787906591261,0.02920787906591261,6.260577674871847e-06,3.05103469616506e-07
40,193.93939393939394,0.029209196667069594,0.029209196667069594,4.942976517890696e-06,2.408997459118405e-07
41,198.78787878787878,0.029210237029760756,0.029210237029760756,3.902613826728663e-06,1.9020208012102833e-07
42,203.63636363636365,0.029211058365241578,0.029211058365241578,3.0812783459044594e-06,1.5017581628403802e-07
43,208.4848484848485,0.029211706623461463,0.029211706623461463,2.4330201260214344e-06,1.1858293059895133e-07
44,213.33333333333334,0.029212219065352183,0.029212219065352183,1.9205782353044548e-06,9.360829540463455e-08
45,218.1818181818182,0.02921262429845921,0.02921262429845921,1.5153451282793692e-06,7.385816647332363e-08
46,223.03030303030303,0.029212943497229183,0.029212943497229183,1.1961463583016046e-06,5.8300856539184124e-08
47,227.87878787878788,0.029213195393238862,0.029213195393238862,9.442503486227061e-07,4.6023606260861044e-08
48,232.72727272727275,0.02921339359043065,0.02921339359043065,7.460531568370211e-07,3.636348757891654e-08
49,237.5757575757576,0.029213550225829565,0.029213550225829565,5.894177579212968e-07,2.8729016784978034e-08
50,242.42424242424244,0.02921367415306921,0.02921367415306921,4.654905182756301e-07,2.2688709909757552e-08
51,247.27272727272728,0.02921377201612357,0.02921377201612357,3.6762746391670636e-07,1.791876319044882e-08
52,252.12121212121212,0.02921384918255012,0.02921384918255012,2.9046103736419746e-07,1.4157574241638571e-08
53,256.969696969697,0.029213909923235155,0.029213909923235155,2.2972035233085274e-07,1.1196985905569951e-08
54,261.8181818181818,0.029213957853113478,0.029213957853113478,1.81790474006357e-07,8.860808030107434e-09
55,266.6666666666667,0.029213995565248146,0.029213995565248146,1.4407833933612617e-07,7.022654955418662e-09
56,271.5151515151515,0.029214025889073007,0.029214025889073007,1.1375451447550223e-07,5.544617920689624e-09
57,276.3636363636364,0.02921405007283997,0.02921405007283997,8.957074751438999e-08,4.365856512976888e-09
58,281.21212121212125,0.029214069245611308,0.029214069245611308,7.039797617531209e-08,3.431339208225716e-09
59,286.06060606060606,0.02921408483888124,0.02921408483888124,5.480470623958614e-08,2.6712929078299567e-09
60,290.90909090909093,0.02921409633348014,0.02921409633348014,4.331010734058522e-08,2.11102340493636e-09
61,295.75757575757575,0.02921410570451482,0.02921410570451482,3.393907266172597e-08,1.6542603747364676e-09
62,300.6060606060606,0.02921411319057214,0.02921411319057214,2.6453015340087993e-08,1.289374760659491e-09
63,305.45454545454544,0.029214118830935318,0.029214118830935318,2.0812652160847034e-08,1.0144519268127838e-09
64,310.3030303030303,0.029214123206332085,0.029214123206332085,1.6437255395515363e-08,8.011860861650851e-10
65,315.1515151515152,0.029214126603509215,0.029214126603509215,1.3040078264755472e-08,6.356006493078387e-10
66,320.0,0.029214129173278102,0.029214129173278102,1.0470309377092849e-08,5.103447811785165e-10
67,324.8484848484849,0.029214131270103395,0.029214131270103395,8.373484086456339e-09,4.0814115282555214e-10
68,329.6969696969697,0.029214132919589474,0.029214132919589474,6.723998006194502e-09,3.2774176061417135e-10
69,334.54545454545456,0.029214134266275834,0.029214134266275834,5.377311647778591e-09,2.6210145327932394e-10
70,339.3939393939394,0.029214135355390185,0.029214135355390185,4.288197297798295e-09,2.0901574049161232e-10
71,344.24242424242425,0.029214136225293428,0.029214136225293428,3.418294053888542e-09,1.666148336072069e-10
72,349.0909090909091,0.029214136932798375,0.029214136932798375,2.7107891071441605e-09,1.3212955858097488e-10
73,353.93939393939394,0.029214137485434187,0.029214137485434187,2.1581532942349666e-09,1.0519292906735626e-10
74,358.7878787878788,0.029214137932276257,0.029214137932276257,1.711311223596927e-09,8.341290804212585e-11
75,363.6363636363636,0.029214138282819907,0.029214138282819907,1.360767575035098e-09,6.632667400591634e-11
76,368.4848484848485,0.029214138559460708,0.029214138559460708,1.0841267728073105e-09,5.284261977120004e-11
77,373.33333333333337,0.029214138782172272,0.029214138782172272,8.614152100243129e-10,4.198718989049021e-11
78,378.1818181818182,0.02921413895516253,0.02921413895516253,6.884249525822522e-10,3.3555280896646175e-11
79,383.03030303030306,0.029214139095974527,0.029214139095974527,5.47612952877345e-10,2.6691807807964176e-11
80,387.8787878787879,0.029214139220065813,0.029214139220065813,4.2352166735022854e-10,2.0643337461136645e-11
81,392.72727272727275,0.029214139390232402,0.029214139390232402,2.5335507509083397e-10,1.2349059656698571e-11
82,397.57575757575756,0.029214139541991584,0.029214139541991584,1.0159589508059361e-10,4.951997799083495e-12
83,402.42424242424244,0.02921413967534335,0.02921413967534335,-3.17558726804961e-11,-1.547848090209688e-12
84,407.2727272727273,0.029214139790287707,0.029214139790287707,-1.4670022819243336e-10,-7.150477992289521e-12
85,412.1212121212121,0.02921413988682465,0.02921413988682465,-2.432371714552171e-10,-1.1855891890872282e-11
86,416.969696969697,0.029214139964954183,0.029214139964954183,-3.213667024688496e-10,-1.5664089772282108e-11
87,421.8181818181818,0.0292141400246763,0.0292141400246763,-3.81088821233329e-10,-1.8575071625450635e-11
88,426.6666666666667,0.029214140065991007,0.029214140065991007,-4.2240352774865675e-10,-2.058883744191736e-11
89,431.5151515151515,0.0292141400888983,0.0292141400888983,-4.4531082201483177e-10,-2.1705387215829347e-11
90,436.3636363636364,0.02921414009339818,0.02921414009339818,-4.4981070403185474e-10,-2.1924720943941458e-11
91,441.21212121212125,0.029214140079490653,0.029214140079490653,-4.3590317379972515e-10,-2.1246838625616192e-11
92,446.06060606060606,0.02921414004717571,0.02921414004717571,-4.035882313184436e-10,-1.9671740262823794e-11
93,450.90909090909093,0.029214139996453354,0.029214139996453354,-3.5286587658800926e-10,-1.7199425860142135e-11
94,455.75757575757575,0.029214139957654327,0.029214139957654327,-3.140668502810613e-10,-1.53082796025896e-11
95,460.6060606060606,0.029214139976597147,0.029214139976597147,-3.3300966951810236e-10,-1.6231592507544905e-11
96,465.4545454545455,0.029214139990894766,0.029214139990894766,-3.4730728790733974e-10,-1.6928488540562158e-11
97,470.3030303030303,0.029214140000547183,0.029214140000547183,-3.569597054487734e-10,-1.739896770113022e-11
98,475.1515151515152,0.0292141400055544,0.0292141400055544,-3.619669221424035e-10,-1.7643029988904026e-11
99,480.0,0.029214140005916416,0.029214140005916416,-3.6232893798822997e-10,-1.766067540370456e-11
