Constants,Invertase,Amylase,Amylase,Amylase,Amylase,Amylase
Temp (degC),24,30,37,40,44,48
Eo (M),7.26E-08,0,0,0,0,0
Km (M),0.0209143,3.96E-05,4.19E-05,4.29E-05,4.23E-05,4.06E-05
kcat (min^-1),98.9095,0,0,0,0,0
Vm (M/min),0.000007181,2.28E-08,2.29E-08,2.30E-08,2.29E-08,2.28E-08
